"n.sites","site.type","n.count","beta.0","beta.1","alpha.0","alpha.1","m.AV.low.beta.0","m.AV.med.beta.0","m.AV.high.beta.0","m.C.low.beta.0","m.C.med.beta.0","m.C.high.beta.0","m.AC.low.beta.0","m.AC.med.beta.0","m.AC.high.beta.0","m.AVC.low.beta.0","m.AVC.med.beta.0","m.AVC.high.beta.0"
50,"equal",3,0.2,0.3,-2.19,1.2,-0.0935828677467868,0.252201258208114,0.599885383521904,-0.344043484823254,0.234409020550465,1.21206955823848,-0.10332394971069,0.237173138582576,0.616763356235149,-0.0727965687495512,0.226655803314615,0.526210141850796
50,"equal",3,0.2,0.3,-2.19,3,-0.0764933270424501,0.201749369793257,0.457852634743025,-0.0922869372039749,0.195791614631267,0.473149442771873,-0.0682640355335798,0.210657394461818,0.460519567728454,-0.0728549057631846,0.204901110771423,0.448121423468783
50,"equal",3,1,0.3,-2.19,1.2,0.749282470368783,0.996313878752871,1.30352568858245,0.466404891887373,0.932075550230154,1.68585646045878,0.747639847725742,0.983872160775465,1.27104818667773,0.758615467818158,0.978094052576754,1.24223596992418
50,"equal",3,1,0.3,-2.19,3,0.81009704378291,1.00902269634616,1.21380757776663,0.806528152168647,1.01331739279895,1.21466047246723,0.806120613915602,0.991377990005637,1.16875957911374,0.805131345717121,0.993176276094438,1.1707182819158
50,"equal",5,0.2,0.3,-2.19,1.2,-0.113557119913713,0.222911747781988,0.590152242755571,-0.23656387786225,0.198780604838304,0.735515239587735,-0.0815628058924482,0.241622989551089,0.540272539682755,-0.0833183270093083,0.214212052832389,0.503849246870041
50,"equal",5,0.2,0.3,-2.19,3,-0.111545650506757,0.172607553488931,0.43461753683503,-0.109576617760051,0.165979483540209,0.420985600905785,-0.121689388469435,0.159515857105069,0.412457813726918,-0.120355882974729,0.156351870462032,0.409801347874453
50,"equal",5,1,0.3,-2.19,1.2,0.782275310311851,1.05240858186777,1.37911084492175,0.679896443104392,1.02267546783658,1.52537586628313,0.786682840377397,1.01885454991584,1.25880184681262,0.792465046185544,1.01126731546378,1.23337354598165
50,"equal",5,1,0.3,-2.19,3,0.794006552887036,0.994207578673426,1.19375694629364,0.808240592582899,0.995418673779212,1.17600873614765,0.812889618178919,0.995495951897864,1.16594273844445,0.820056908730222,0.99421875443049,1.16390104849849
50,"acoustic",3,0.2,0.3,-2.19,1.2,-0.10035803207152,0.233218403880526,0.610429245845357,-0.513780587919613,0.364041646780501,1.91193272836784,-0.144894715759181,0.221409773286924,0.712993548506136,-0.127700015492716,0.17891554473954,0.531509945681428
50,"acoustic",3,0.2,0.3,-2.19,3,-0.108176412112111,0.17431693848372,0.435563242431,-0.253778506220434,0.20100594593932,0.61036759148945,-0.11543090515282,0.164974560266796,0.427462763647519,-0.115633304542208,0.166370672100752,0.426535590425638
50,"acoustic",3,1,0.3,-2.19,1.2,0.772097522565603,1.01035373111245,1.32537146291382,0.424235891066116,1.12594156490758,2.44326856872047,0.756233990452106,1.01297431853362,1.40268847493327,0.794438359025933,1.01287953786432,1.28161078241973
50,"acoustic",3,1,0.3,-2.19,3,0.806894760616937,1.00578243158904,1.19992482829015,0.690640881307302,0.996440886962331,1.30196366095656,0.81455197914807,0.998016087642526,1.18064530674899,0.809781009256402,0.996385495644029,1.17219848208254
50,"acoustic",5,0.2,0.3,-2.19,1.2,-0.118355897390933,0.226121287927117,0.640941613922472,-0.422763413160976,0.248020450573582,1.2112565235155,-0.115767824908859,0.217887343489855,0.617856780592237,-0.0951130769870565,0.203101401961881,0.516217333455213
50,"acoustic",5,0.2,0.3,-2.19,3,-0.0953028948077108,0.182820323224908,0.443039479930608,-0.269588909464198,0.13013193520762,0.504593056924623,-0.0781539821908414,0.188341646298657,0.434451994206227,-0.0805668179939858,0.182815687221367,0.431742540599807
50,"acoustic",5,1,0.3,-2.19,1.2,0.783396066420585,1.04294856776742,1.37972057880086,0.499066032733307,1.03412282023094,1.79460045208035,0.774281952894091,1.02422232866207,1.35236694957296,0.79133755693554,1.0075608968125,1.2672054047165
50,"acoustic",5,1,0.3,-2.19,3,0.802326357472555,1.00208130823411,1.20070221922237,0.696640683628129,0.976173621025662,1.22317810741656,0.809123058053651,0.995772058212595,1.17341183366336,0.814401827739059,1.00416579108475,1.17637752071009
50,"nmix",3,0.2,0.3,-2.19,1.2,-0.267188179577223,0.241050592229858,0.838600621700966,-0.361948751437548,0.261921488654177,1.18581021548831,-0.193837540224958,0.18660333301852,0.669949775860074,-0.158095773746495,0.216055344516088,0.602697058492281
50,"nmix",3,0.2,0.3,-2.19,3,-0.302875729552047,0.134132162649515,0.523864004347207,-0.150289741176249,0.15394892210438,0.431228139938184,-0.136293201526313,0.146093741558005,0.409450963751653,-0.139862387421454,0.149285717234307,0.415719079278206
50,"nmix",3,1,0.3,-2.19,1.2,0.622340991335606,1.02873926637345,1.53872769826645,0.528214429478348,1.00372295839524,1.91550590910057,0.688534879316796,0.987366328325237,1.4370806603998,0.732030016854801,1.01644062480028,1.38918236306373
50,"nmix",3,1,0.3,-2.19,3,0.713594923640836,1.01040783155752,1.35176100241168,0.804685679749244,1.00723332628736,1.21722574219279,0.802464000578088,0.998707644468222,1.17971023711675,0.799899378766214,0.989036931579855,1.17304623636788
50,"nmix",5,0.2,0.3,-2.19,1.2,-0.235199896050991,0.276845916588328,0.779655973376874,-0.226773757751055,0.194769506381104,0.707499253539347,-0.166586283801164,0.195882917041135,0.569513450777884,-0.13947121358775,0.200854363597612,0.548939512299412
