"I","lowest.beta.0","low.beta.0","med.beta.0","high.beta.0","highest.beta.0","lowest.beta.1","low.beta.1","med.beta.1","high.beta.1","highest.beta.1"
"0.1",1.82594422823737,1.93673802044742,2.00502029428274,2.07973399186119,2.25569581622284,0.193316635875921,0.262020553778929,0.30019334100054,0.338224152956436,0.402802667274555
"0.2",1.85330497848977,1.94189653827672,1.99785191602685,2.05724177856552,2.19257459957898,0.195211145187025,0.266863867778002,0.30285730561973,0.337164965464358,0.40588713119947
"0.4",1.86116458514109,1.94624469556546,1.9953708477962,2.04163347469504,2.1466178079003,0.196242139621118,0.264477252231159,0.303306218282652,0.339151380311643,0.407080493763536
"0.6",1.87526993716555,1.95774008356308,2.00140878378365,2.04548009491968,2.13556284094141,0.194279584486772,0.265254072724356,0.30372661397113,0.338546466891499,0.40389417509711
"1",1.87949948556584,1.95912742108645,2.00146193173169,2.04458512468805,2.12418782765711,0.19643194683903,0.264517034782995,0.301821419795929,0.338370593194911,0.401621946233788
