"n.sites","site.type","n.count","beta.1","beta.0","alpha.0","alpha.1","m.AV.low.beta.1","m.AV.med.beta.1","m.AV.high.beta.1","m.C.low.beta.1","m.C.med.beta.1","m.C.high.beta.1","m.AC.low.beta.1","m.AC.med.beta.1","m.AC.high.beta.1","m.AVC.low.beta.1","m.AVC.med.beta.1","m.AVC.high.beta.1"
50,"equal",3,0.3,0.2,-2.19,1.2,0.0639634097868064,0.319990133566142,0.576920622870923,-0.0187142931533538,0.332234988756226,0.666748612436524,0.0584609334330988,0.322729013578412,0.583825845733878,0.0714175619412995,0.323431265851188,0.58531351230047
50,"equal",3,0.3,0.2,-2.19,3,0.0431378745754974,0.294654855061145,0.553029790472009,0.0304374575407024,0.291367986133907,0.583648779756463,0.0426085885523485,0.296044136614835,0.564709530972702,0.0410797460266947,0.294490640013445,0.555526507956725
50,"equal",3,0.3,1,-2.19,1.2,0.125239358596005,0.305726574179525,0.465114946969686,0.0534017474701085,0.286035339175558,0.504155376112576,0.119127112638379,0.300745597972595,0.468210651063315,0.126949774231421,0.302127999010017,0.466440175999544
50,"equal",3,0.3,1,-2.19,3,0.12802804826093,0.300146789226069,0.473387076806207,0.103962439251311,0.291426298537676,0.472347459085505,0.124994436401326,0.296598703967499,0.471429850344935,0.12222419015898,0.298837701191628,0.469676639024282
50,"equal",5,0.3,0.2,-2.19,1.2,0.0726920550120501,0.321357983988184,0.565340487608832,0.0135101020413902,0.319248260378703,0.603909303161854,0.0683135195342129,0.312296909037414,0.553691616230839,0.0591917183173179,0.322164806358773,0.557305750430787
50,"equal",5,0.3,0.2,-2.19,3,0.0605301952268751,0.302993422494465,0.563566359511443,0.0529564892394314,0.293055194912281,0.537792955446155,0.0612466081198439,0.298186214807624,0.552367526376469,0.0568776568569082,0.301038044362828,0.550916165400063
50,"equal",5,0.3,1,-2.19,1.2,0.16363482818293,0.321110211836777,0.482731643557631,0.127517665956651,0.32339546623614,0.514366394320429,0.153950792168948,0.326309135138266,0.495402261535017,0.161759892254534,0.327658163328599,0.489721855606286
50,"equal",5,0.3,1,-2.19,3,0.127618833348253,0.303342213020819,0.473011352308633,0.124815171345584,0.295890372124008,0.467917267123126,0.134049206194426,0.299509373715712,0.468509140693816,0.130602106130602,0.298915833988706,0.467891574058512
50,"acoustic",3,0.3,0.2,-2.19,1.2,0.0207928603131689,0.277994439995628,0.539677571485395,-0.151327884084065,0.276328804807232,0.757848643550129,0.0106723980651717,0.278996564284037,0.54734429122588,0.0160320174588428,0.282740733974447,0.549751349797239
50,"acoustic",3,0.3,0.2,-2.19,3,0.0460080972556449,0.294100230142655,0.567639268566465,-0.075717529884423,0.282495432618111,0.640986179377219,0.0525513562559046,0.289789548614473,0.5711206802483,0.0457388223110115,0.290274407586743,0.557826529751684
50,"acoustic",3,0.3,1,-2.19,1.2,0.142056660730371,0.297645546305648,0.457537020567584,-0.00180787528197402,0.304134162153,0.628307395642462,0.139040595035003,0.296296224145351,0.465985575826627,0.147922981592636,0.29862049849054,0.458595010641832
50,"acoustic",3,0.3,1,-2.19,3,0.110961550140365,0.267291962309198,0.441006274517028,0.0152178638484684,0.271739442082153,0.540099770312375,0.108109704427213,0.274858845453899,0.446037196124461,0.106105224419084,0.273832534796135,0.443911498487101
50,"acoustic",5,0.3,0.2,-2.19,1.2,0.0547917394135385,0.307572386656537,0.563228968684271,-0.137808993396534,0.333228518511372,0.77026475542908,0.0587593896448234,0.31722891804985,0.579981981049174,0.0510257682996427,0.308842189856652,0.568822679325759
50,"acoustic",5,0.3,0.2,-2.19,3,0.0502386212319535,0.305881204543819,0.5607073729714,-0.0685049379175805,0.318387828217485,0.715914106759632,0.0517757153917331,0.300938696028109,0.554696859847936,0.0511049783618678,0.297197989654043,0.546381681485866
50,"acoustic",5,0.3,1,-2.19,1.2,0.139985163941566,0.31485844018066,0.486815890266707,0.0245693443204607,0.314822641370127,0.606321119151127,0.142956788853923,0.309174678359953,0.480910652263378,0.14186548968356,0.311556994336184,0.485656703802118
50,"acoustic",5,0.3,1,-2.19,3,0.146174780522582,0.32061050326772,0.481937757932412,0.064664695110996,0.307640687239391,0.577225973803451,0.148269097389851,0.322275599553259,0.482843920460955,0.150885317591032,0.320902955055029,0.478115754409082
50,"nmix",3,0.3,0.2,-2.19,1.2,-0.0594681153995732,0.325221254015046,0.682309749268902,-0.0117668709432164,0.306010673497738,0.644165083368935,0.028530838843893,0.328109077230693,0.629384861842412,0.0359974767637219,0.316941282915009,0.614305158843394
50,"nmix",3,0.3,0.2,-2.19,3,-0.0846348651903454,0.287769497799552,0.680578296979001,0.0528385749636526,0.326361258863442,0.600095624797059,0.0580752381284486,0.324124485819389,0.596926436810202,0.0592020669848061,0.326364357460572,0.586244942234166
50,"nmix",3,0.3,1,-2.19,1.2,0.0421336050466402,0.296838302615438,0.539238145406289,0.099200512550561,0.335204218744758,0.556037152237526,0.130379087095762,0.322173745398873,0.518907660674021,0.126593696247249,0.313871057565521,0.502971885619059
